price,bedrooms,bathrooms,sqft_living,floors,view,sqft_above,sqft_basement
805000.0,3.0,2.0,2710,1.5,0,1880,830
284000.0,3.0,1.75,1800,1.0,0,1800,0
470000.0,5.0,2.5,2210,1.0,0,1460,750
430000.0,4.0,1.5,1920,1.0,0,1070,850
785000.0,5.0,3.25,3660,2.0,2,3660,0
385000.0,3.0,3.25,1320,2.0,0,1040,280
295000.0,2.0,2.5,1630,2.0,0,1280,350
555000.0,4.0,2.5,3310,2.0,0,3310,0
459990.0,3.0,2.5,2680,2.0,0,2680,0
300000.0,3.0,2.5,2540,2.0,0,2540,0
625000.0,4.0,2.75,2920,2.0,0,2920,0
553000.0,2.0,1.0,900,1.0,0,900,0
379880.0,3.0,2.5,1650,1.0,0,1130,520
310000.0,3.0,1.0,1010,1.0,0,1010,0
775000.0,2.0,2.5,2680,1.0,0,2680,0
365000.0,3.0,2.5,2200,1.0,0,1570,630
331950.0,4.0,2.5,2530,2.0,2,2010,520
783500.0,3.0,2.5,2850,2.0,0,1990,860
628000.0,4.0,2.0,2280,1.0,0,1140,1140
560000.0,3.0,2.5,1900,2.0,0,1900,0
531000.0,2.0,3.0,1270,2.0,0,1110,160
831000.0,4.0,3.0,2170,2.0,0,1610,560
780000.0,4.0,2.5,2730,2.0,2,2730,0
755000.0,4.0,2.5,2120,1.0,0,1620,500
705380.0,3.0,2.5,2490,2.0,0,2490,0
627000.0,4.0,2.25,1990,1.0,0,1210,780
865000.0,4.0,3.0,3690,2.0,0,3690,0
580000.0,2.0,1.0,2540,1.0,0,1320,1220
410000.0,3.0,2.25,1800,1.0,0,1360,440
485000.0,4.0,3.0,2340,1.0,0,1340,1000
400000.0,2.0,1.75,2110,1.0,0,2110,0
549000.0,2.0,1.0,1140,1.0,0,1140,0
620000.0,3.0,1.75,1480,2.5,0,1480,0
405000.0,2.0,3.0,1410,2.0,0,1140,270
232000.0,2.0,1.0,1200,1.0,0,1200,0
800866.0,5.0,2.5,3180,2.0,0,3180,0
650000.0,3.0,1.5,2160,1.0,2,1400,760
770000.0,3.0,2.0,2350,1.5,0,1810,540
524000.0,3.0,1.75,1560,1.0,0,780,780
541125.0,5.0,2.75,2740,1.0,0,1370,1370
670000.0,3.0,2.5,1680,3.0,0,1680,0
384900.0,5.0,2.5,3090,1.0,0,1750,1340
406100.0,3.0,2.25,1410,3.0,0,1410,0
736500.0,4.0,2.5,3180,2.0,3,3180,0
570000.0,3.0,2.25,2010,1.0,0,1330,680
787000.0,3.0,1.75,1330,1.0,0,1330,0
328000.0,4.0,2.5,2370,2.0,0,2370,0
435000.0,5.0,2.0,1840,1.0,0,1540,300
499000.0,4.0,2.5,2910,2.0,0,2910,0
501000.0,4.0,1.0,2070,1.0,0,1160,910
400000.0,2.0,1.0,840,1.0,0,840,0
220000.0,4.0,1.5,1240,1.0,0,1240,0
657100.0,4.0,1.0,1390,1.0,0,1050,340
309950.0,4.0,2.75,2310,2.0,0,2310,0
300000.0,3.0,2.0,1050,1.0,0,1050,0
740000.0,4.0,1.75,2010,1.5,0,2010,0
340000.0,5.0,1.0,1120,1.5,0,1120,0
398750.0,3.0,2.5,2230,2.0,0,2230,0
206000.0,2.0,1.0,810,1.0,0,810,0
1030000.0,5.0,2.75,3190,1.0,3,1690,1500
600000.0,3.0,1.75,1670,1.0,0,1670,0
379950.0,4.0,1.75,1970,1.0,0,1140,830
287000.0,3.0,1.0,1450,1.0,0,1450,0
309950.0,3.0,2.5,1880,2.0,0,1880,0
600000.0,3.0,1.75,1880,1.0,0,1040,840
418000.0,3.0,2.0,1410,1.5,0,1410,0
449250.0,4.0,2.0,1480,1.5,0,1480,0
329950.0,2.0,1.0,1140,1.5,0,1140,0
245000.0,3.0,1.75,1920,1.0,0,1000,920
549000.0,4.0,2.5,2910,2.0,0,2910,0
800000.0,3.0,2.5,3240,2.0,0,3240,0
249950.0,3.0,2.0,1550,1.0,0,1550,0
210000.0,5.0,2.0,2050,1.0,0,1430,620
585000.0,2.0,1.0,1770,1.5,0,1520,250
615000.0,4.0,1.75,2300,1.0,0,1960,340
618500.0,3.0,2.0,1800,1.0,0,1080,720
487585.0,4.0,1.75,2010,1.0,0,1470,540
509900.0,3.0,2.5,1790,2.0,0,1790,0
631625.0,4.0,2.5,2440,2.0,0,2440,0
555000.0,3.0,2.5,1940,2.0,0,1940,0
340000.0,2.0,1.5,1160,2.0,0,1160,0
830000.0,4.0,2.5,3400,2.0,0,3400,0
366750.0,3.0,3.0,1571,3.0,0,1571,0
415000.0,3.0,2.25,1620,2.5,0,1540,80
416286.0,3.0,2.5,1408,3.0,0,1408,0
478000.0,3.0,2.5,3040,2.0,0,3040,0
419190.0,2.0,2.5,1590,2.0,0,1590,0
712198.0,4.0,2.5,2450,2.0,0,2450,0
397000.0,4.0,2.0,1440,1.0,0,1200,240
450000.0,2.0,2.0,1100,1.5,0,1100,0
353000.0,3.0,1.0,1350,1.0,0,860,490
609000.0,4.0,2.5,2150,2.0,0,2150,0
234000.0,3.0,1.75,1490,1.0,0,1010,480
561000.0,3.0,2.0,2000,2.0,0,2000,0
469000.0,2.0,1.0,1030,1.0,0,1030,0
329350.0,2.0,1.0,720,1.0,0,720,0
488000.0,5.0,2.0,2020,1.5,0,2020,0
279900.0,3.0,1.75,1580,1.0,1,1100,480
606000.0,4.0,2.5,2110,2.0,0,2110,0
312000.0,4.0,2.0,1300,1.0,0,1300,0
650000.0,3.0,1.5,1630,1.0,1,1160,470
1135000.0,4.0,2.75,3370,1.0,3,1970,1400
325000.0,4.0,2.5,1890,1.0,0,980,910
425000.0,4.0,2.0,1520,1.0,0,1520,0
219000.0,2.0,1.0,900,1.0,0,900,0
250000.0,3.0,1.0,1050,1.0,0,1050,0
390000.0,3.0,1.75,1260,1.0,0,1260,0
736000.0,4.0,2.5,2290,2.0,0,2290,0
407000.0,4.0,2.25,2810,1.0,1,1710,1100
272000.0,3.0,2.5,1650,2.0,0,1650,0
362000.0,3.0,2.25,1640,1.0,0,1140,500
535000.0,3.0,2.5,1850,2.0,0,1850,0
284000.0,4.0,2.5,2000,2.0,0,2000,0
367500.0,3.0,1.5,1410,1.0,0,1410,0
379900.0,4.0,1.75,1500,1.0,0,1000,500
175000.0,3.0,1.0,1010,1.0,0,1010,0
460000.0,2.0,2.25,1230,2.0,0,1020,210
345000.0,4.0,2.5,2331,2.0,0,2331,0
455000.0,5.0,2.5,2240,1.0,0,1340,900
610000.0,4.0,3.0,2450,1.0,0,1580,870
563000.0,4.0,3.0,3100,2.0,0,2400,700
612500.0,4.0,2.0,2060,1.0,0,1030,1030
218000.0,3.0,1.75,1850,1.0,0,1320,530
404000.0,4.0,1.75,1840,1.0,0,960,880
860000.0,4.0,2.0,3740,2.0,0,3740,0
136500.0,3.0,1.5,1420,1.0,0,1420,0
313950.0,3.0,1.0,1510,1.0,0,860,650
575000.0,3.0,1.75,2130,1.0,2,1170,960
1225000.0,4.0,2.25,3490,2.0,0,2280,1210
280000.0,3.0,1.75,1630,1.0,0,1630,0
515000.0,3.0,2.5,1790,2.0,0,1790,0
513000.0,4.0,2.5,2000,2.0,0,2000,0
599000.0,4.0,2.25,2260,2.0,0,1400,860
685000.0,4.0,2.5,3030,2.0,0,3030,0
365000.0,3.0,1.5,1310,1.0,0,1310,0
762300.0,4.0,2.5,3880,2.0,0,3880,0
562000.0,5.0,2.25,3040,2.0,0,3040,0
530000.0,5.0,2.5,2910,1.0,0,1690,1220
525000.0,3.0,2.5,2970,1.0,0,1770,1200
484000.0,2.0,1.75,1660,1.0,0,1160,500
725126.0,4.0,2.5,3200,2.0,0,3200,0
360000.0,4.0,2.0,2680,1.0,0,2680,0
387000.0,3.0,1.0,1230,1.0,0,1230,0
483500.0,4.0,2.5,2740,2.0,0,2740,0
655500.0,4.0,3.5,3380,2.0,0,3380,0
345000.0,3.0,1.0,1110,1.0,0,1110,0
533000.0,5.0,2.75,1800,1.5,0,1400,400
385000.0,3.0,1.75,1900,1.0,0,1280,620
675000.0,2.0,1.0,930,1.0,2,930,0
197000.0,3.0,1.75,1690,1.0,0,1060,630
485000.0,3.0,2.0,1420,1.5,0,1420,0
295000.0,3.0,2.25,1980,1.0,0,1560,420
499000.0,2.0,1.75,1170,1.0,0,740,430
1050000.0,3.0,2.5,2200,2.0,0,1610,590
191000.0,3.0,1.5,800,1.0,0,800,0
500000.0,3.0,2.5,1480,3.0,0,1480,0
979000.0,3.0,2.5,2690,3.0,0,2690,0
580000.0,4.0,3.25,3569,2.0,0,3569,0
369950.0,3.0,2.0,1270,3.0,0,1270,0
776000.0,4.0,2.5,3040,2.0,0,3040,0
519950.0,3.0,2.25,1170,3.0,0,1170,0
255000.0,5.0,2.25,2060,1.0,0,1030,1030
495000.0,3.0,1.0,990,1.0,0,990,0
510000.0,4.0,2.5,2430,2.0,0,2430,0
253000.0,3.0,1.75,1250,1.0,0,1250,0
503000.0,3.0,2.75,1540,1.0,0,1210,330
275000.0,3.0,2.5,1600,2.0,0,1600,0
249000.0,3.0,1.0,1110,1.0,0,1110,0
310000.0,3.0,1.75,1840,1.0,0,1220,620
750000.0,3.0,2.75,2520,1.0,0,1360,1160
758000.0,4.0,2.75,2410,1.0,0,1780,630
248500.0,4.0,1.75,1720,1.0,0,1720,0
310000.0,3.0,1.75,2070,1.0,0,1420,650
460000.0,3.0,2.0,1760,2.0,0,1760,0
675000.0,3.0,1.75,1680,1.0,0,1680,0
526000.0,2.0,2.0,1550,1.5,0,1550,0
415000.0,4.0,3.0,1830,2.0,0,1830,0
246000.0,3.0,1.0,1400,1.0,0,1400,0
314500.0,3.0,1.75,1870,1.0,0,1870,0
420000.0,2.0,1.5,1040,1.5,0,1040,0
350000.0,3.0,1.0,1010,1.0,0,1010,0
515000.0,3.0,1.75,1580,1.0,1,1210,370
749950.0,4.0,2.75,2600,2.0,0,1960,640
230000.0,3.0,2.5,1920,2.0,0,1920,0
568000.0,3.0,2.0,2350,1.5,0,1780,570
250000.0,1.0,1.0,1100,1.0,0,820,280
581000.0,4.0,2.0,2510,1.0,0,1280,1230
500000.0,2.0,1.0,1010,1.5,0,1010,0
475000.0,2.0,1.0,820,1.0,0,820,0
352000.0,5.0,2.5,2420,1.0,2,1620,800
420000.0,3.0,2.25,1770,2.0,0,1770,0
428000.0,2.0,2.0,1350,1.0,0,1350,0
599000.0,3.0,1.75,1960,1.0,0,1090,870
492000.0,4.0,2.5,3305,1.5,0,2245,1060
630000.0,2.0,2.25,2550,1.0,0,1720,830
1110000.0,4.0,1.5,2310,1.0,0,1890,420
575000.0,4.0,2.0,1650,1.0,0,1650,0
705000.0,4.0,2.5,2650,1.5,0,1520,1130
940000.0,4.0,2.25,1890,1.0,1,1470,420
313000.0,3.0,1.75,2190,1.0,0,2190,0
618080.0,3.0,2.5,2030,2.0,0,2030,0
640000.0,3.0,3.0,2270,2.0,0,2130,140
485000.0,3.0,2.0,1610,1.0,0,1010,600
300000.0,2.0,1.0,760,1.0,0,760,0
379500.0,2.0,1.0,1640,1.0,0,840,800
339950.0,3.0,2.25,1630,2.0,0,1630,0
1340000.0,3.0,3.0,2960,2.0,2,2440,520
500000.0,3.0,2.5,1940,1.0,0,1940,0
239900.0,3.0,2.0,1410,1.0,0,1410,0
314950.0,3.0,1.0,1040,1.0,0,1040,0
361280.0,2.0,1.0,820,1.0,0,820,0
100000.0,2.0,1.0,910,1.0,0,910,0
480500.0,4.0,2.5,2180,1.0,0,2180,0
280000.0,3.0,2.5,1600,2.0,0,1600,0
440000.0,3.0,1.75,1500,1.0,0,1060,440
530000.0,3.0,1.0,1340,1.0,0,1080,260
560000.0,3.0,2.0,1860,1.0,0,1860,0
775000.0,3.0,2.0,2540,1.5,3,1600,940
160000.0,2.0,1.0,1040,1.0,0,1040,0
209950.0,3.0,1.5,1380,1.0,0,1380,0
226500.0,3.0,1.75,1640,1.0,0,1130,510
380000.0,5.0,1.75,3000,1.0,0,1500,1500
409500.0,4.0,2.75,2140,1.0,0,1320,820
690000.0,3.0,2.0,1760,1.0,0,980,780
405000.0,3.0,2.25,1660,1.0,0,1660,0
375000.0,3.0,2.5,1830,2.0,0,1830,0
794154.0,4.0,2.0,2210,1.0,1,1210,1000
185000.0,4.0,1.0,1490,1.0,0,1490,0
245000.0,3.0,1.5,1260,2.0,0,1040,220
1040000.0,4.0,3.5,3900,2.0,0,3900,0
425000.0,2.0,2.5,1150,3.0,0,1150,0
495000.0,4.0,2.75,2656,2.0,0,2656,0
365000.0,5.0,2.75,2410,1.0,0,1410,1000
417250.0,3.0,2.25,1606,3.0,0,1606,0
339950.0,2.0,1.0,820,3.0,0,820,0
615000.0,2.0,1.0,1540,1.0,0,820,720
403000.0,3.0,2.75,2090,2.0,0,2090,0
980000.0,5.0,2.5,3160,1.0,0,1780,1380
258000.0,4.0,1.75,1730,1.0,0,1230,500
533000.0,3.0,1.0,1670,1.0,0,1170,500
537500.0,4.0,2.5,2550,2.0,0,2550,0
830000.0,5.0,3.0,3040,1.0,0,1970,1070
712000.0,3.0,1.0,1250,1.5,0,1150,100
262000.0,4.0,2.5,2020,2.0,0,2020,0
753888.0,4.0,2.5,2660,2.0,2,2660,0
134000.0,2.0,1.5,980,2.0,0,980,0
402000.0,3.0,2.5,1960,1.0,0,1290,670
205000.0,2.0,1.0,720,1.0,0,720,0
553650.0,2.0,2.5,1360,2.0,0,1050,310
559950.0,2.0,2.0,1870,1.0,0,1870,0
260000.0,4.0,1.5,2130,1.0,0,1100,1030
270000.0,4.0,2.5,1810,2.0,0,1810,0
719000.0,3.0,2.5,1690,1.5,1,1690,0
266000.0,3.0,2.5,1940,1.0,0,1460,480
325900.0,4.0,2.5,2320,2.0,0,2320,0
647500.0,4.0,1.75,2060,1.0,0,1160,900
1039000.0,4.0,1.0,3410,2.0,0,2190,1220
569000.0,4.0,2.25,2250,2.0,0,2250,0
246000.0,3.0,1.75,1390,1.0,0,1390,0
515000.0,2.0,1.0,1060,1.0,0,1060,0
207000.0,3.0,1.0,1490,1.0,0,1490,0
780000.0,4.0,1.75,2480,1.0,0,1390,1090
489990.0,5.0,2.25,2440,1.5,0,2440,0
295000.0,3.0,2.5,1920,2.0,0,1920,0
385000.0,3.0,1.75,1890,1.0,0,1230,660
350000.0,4.0,1.75,2250,1.0,0,2150,100
235000.0,2.0,1.0,1270,1.0,0,650,620
358000.0,2.0,1.5,960,2.0,0,960,0
716500.0,4.0,2.5,3290,2.0,0,3290,0
228000.0,4.0,1.75,2000,1.0,0,1100,900
405000.0,2.0,1.0,1020,1.0,0,1020,0
538000.0,4.0,1.75,1840,1.0,0,1220,620
530000.0,3.0,1.75,1980,1.0,0,1980,0
636000.0,2.0,1.75,1230,1.5,0,1230,0
868500.0,3.0,2.5,2920,3.0,0,2920,0
530000.0,4.0,2.75,2280,1.5,0,1540,740
450000.0,3.0,2.0,1510,1.0,0,1510,0
230000.0,3.0,1.75,950,1.0,0,790,160
229000.0,3.0,2.5,1190,2.0,0,1190,0
437000.0,3.0,1.75,1310,1.0,0,1310,0
1307000.0,5.0,3.25,2800,1.5,0,1910,890
595000.0,3.0,2.5,1750,2.0,0,1750,0
660000.0,3.0,1.75,1320,1.5,0,1320,0
347500.0,4.0,2.5,2460,2.0,0,2460,0
297950.0,3.0,2.0,1240,1.0,0,1240,0
245000.0,3.0,1.5,1260,1.0,0,1260,0
1250000.0,4.0,3.25,3820,2.0,1,3310,510
413450.0,3.0,2.5,1540,3.0,0,1470,70
424500.0,3.0,1.75,1460,1.0,0,1460,0
230000.0,3.0,1.0,1390,1.0,0,1390,0
930000.0,3.0,3.25,2640,2.0,0,1840,800
349000.0,3.0,1.75,1590,1.0,0,1590,0
835000.0,4.0,2.0,1910,1.5,0,1910,0
988500.0,3.0,2.75,2015,2.0,4,2015,0
500000.0,3.0,1.75,1410,3.0,0,1410,0
499000.0,2.0,1.5,1110,2.0,0,930,180
321950.0,2.0,1.25,860,2.0,0,860,0
494000.0,3.0,2.5,2310,2.0,0,2310,0
441750.0,2.0,1.5,1020,3.0,0,1020,0
438000.0,2.0,1.0,980,2.0,0,980,0
352000.0,3.0,2.25,1640,1.0,0,1640,0
839900.0,4.0,3.5,3810,1.0,1,2560,1250
765000.0,4.0,2.75,2790,2.0,0,2790,0
460000.0,4.0,1.75,1750,1.5,0,1050,700
224500.0,4.0,1.0,1430,1.5,0,1430,0
254000.0,3.0,2.5,1850,2.0,0,1850,0
255000.0,2.0,1.0,960,1.0,0,960,0
610000.0,3.0,3.0,2480,1.0,0,1620,860
920000.0,4.0,3.0,3750,2.0,0,3750,0
402500.0,4.0,2.5,2600,2.0,0,2600,0
280950.0,3.0,1.75,1390,1.0,3,840,550
604000.0,4.0,2.5,2260,2.0,0,2260,0
565000.0,4.0,2.25,2470,2.0,0,2470,0
445000.0,4.0,2.0,1650,1.0,0,1000,650
195000.0,2.0,1.0,720,1.0,0,720,0
275000.0,3.0,1.5,1390,1.0,0,1390,0
387000.0,3.0,2.25,1445,2.0,0,1300,145
490000.0,2.0,1.0,1840,1.5,0,1130,710
505000.0,3.0,2.5,2100,2.0,2,2100,0
303500.0,3.0,1.5,1060,1.0,0,1060,0
270000.0,3.0,1.5,1500,1.0,0,1500,0
323000.0,4.0,2.75,1970,1.0,0,1170,800
382000.0,3.0,3.25,1410,3.0,0,1410,0
280000.0,4.0,2.0,2190,1.0,0,1180,1010
260000.0,3.0,2.0,1920,1.0,0,1510,410
201500.0,3.0,1.0,1160,1.0,0,1160,0
536500.0,4.0,1.75,2000,1.5,0,1450,550
248000.0,4.0,3.0,2163,2.0,0,2163,0
580000.0,4.0,2.5,2840,2.0,0,2840,0
463000.0,2.0,1.0,1150,1.0,0,1150,0
742500.0,4.0,2.75,3100,2.0,0,2000,1100
260000.0,3.0,2.5,1420,1.0,0,1020,400
590000.0,4.0,2.25,2430,1.0,0,2430,0
312000.0,4.0,2.25,1930,1.0,0,1430,500
566000.0,3.0,2.25,1660,1.0,0,1370,290
511555.0,3.0,2.0,1400,1.0,0,1400,0
583000.0,4.0,2.5,2660,2.0,0,2660,0
290000.0,4.0,2.5,2000,1.0,0,1200,800
311100.0,4.0,2.25,2130,1.0,0,1380,750
325000.0,3.0,2.25,1352,3.0,0,1352,0
491300.0,3.0,1.75,1750,1.0,1,1300,450
315000.0,5.0,1.75,2320,1.0,0,1160,1160
330000.0,4.0,2.5,1940,2.0,0,1940,0
481450.0,3.0,2.0,1410,1.0,0,1410,0
234950.0,3.0,1.0,1360,1.0,0,1360,0
251000.0,3.0,1.75,1220,1.0,0,1220,0
782000.0,4.0,2.5,2830,2.0,0,1980,850
833000.0,4.0,2.75,3780,2.0,0,3780,0
542500.0,4.0,2.5,2330,2.0,0,2330,0
252500.0,3.0,1.0,1030,1.0,0,880,150
465000.0,4.0,2.5,1930,1.0,0,1930,0
225000.0,3.0,2.5,2000,2.0,0,2000,0
270000.0,3.0,2.0,1690,1.0,0,1690,0
536000.0,3.0,1.75,1300,1.5,0,1300,0
585000.0,4.0,3.25,2400,2.0,0,2400,0
445000.0,2.0,2.0,1150,1.0,0,860,290
320000.0,4.0,2.25,2310,2.0,0,2310,0
769900.0,4.0,3.5,2730,2.0,0,2400,330
557000.0,4.0,2.5,2840,2.0,0,2840,0
212000.0,2.0,1.5,1020,2.0,0,1020,0
376000.0,3.0,2.0,1340,3.0,0,1340,0
324000.0,3.0,2.25,998,2.0,0,798,200
549900.0,5.0,2.75,3060,1.0,0,1600,1460
320000.0,3.0,2.5,2130,2.0,0,2130,0
875000.0,4.0,2.0,2520,1.0,0,1400,1120
265000.0,4.0,1.0,1940,1.0,0,1080,860
394950.0,3.0,2.5,1350,3.0,0,1270,80
842500.0,4.0,2.5,2160,2.5,0,2160,0
368000.0,3.0,2.5,1370,2.0,0,1010,360
885000.0,4.0,2.5,2830,2.0,0,2830,0
453246.0,3.0,2.5,2010,2.0,0,1390,620
927000.0,4.0,2.75,3300,2.0,0,3300,0
490000.0,2.0,2.5,1230,2.0,0,870,360
341000.0,3.0,1.5,1720,1.5,0,1720,0
235000.0,1.0,1.0,810,1.0,0,810,0
1200000.0,3.0,1.75,1560,1.5,4,1560,0
255000.0,2.0,1.0,1220,1.0,0,770,450
876650.0,3.0,3.25,2170,1.5,0,1650,520
350000.0,2.0,1.0,910,1.5,0,910,0
750000.0,4.0,2.5,2980,2.0,0,2890,90
582000.0,4.0,1.75,2120,1.0,1,1190,930
1315000.0,4.0,3.5,3460,2.0,0,2560,900
372500.0,5.0,3.0,2480,1.0,0,1300,1180
410000.0,3.0,2.25,2200,2.0,0,2200,0
360000.0,4.0,2.0,1730,1.0,0,1010,720
1015000.0,3.0,2.5,2920,1.0,4,1800,1120
225000.0,3.0,1.0,990,1.0,0,990,0
647000.0,4.0,2.5,3040,2.0,0,3040,0
185000.0,3.0,1.5,1370,1.0,0,1370,0
335000.0,3.0,2.5,1940,2.0,0,1940,0
210000.0,3.0,2.5,1040,2.0,0,720,320
522000.0,4.0,2.25,1800,1.0,0,1360,440
770000.0,3.0,1.75,1720,1.0,0,1720,0
499950.0,3.0,1.0,980,1.0,0,760,220
751000.0,4.0,2.5,3110,2.0,0,3110,0
330000.0,5.0,3.0,2100,1.0,0,1250,850
465000.0,3.0,1.5,2020,1.0,0,1190,830
850000.0,4.0,1.75,2350,1.0,0,2350,0
947500.0,4.0,2.25,3290,1.5,0,3290,0
302000.0,5.0,2.25,2180,2.0,0,2180,0
500000.0,2.0,2.25,1290,3.0,0,1290,0
201000.0,3.0,1.0,1460,1.0,0,1460,0
265000.0,2.0,1.0,1290,2.0,0,1290,0
870300.0,4.0,2.5,2350,1.5,0,1690,660
339000.0,3.0,1.0,1080,1.0,0,1080,0
690000.0,4.0,2.5,2670,2.0,0,2670,0
788000.0,4.0,3.25,3680,2.0,0,2840,840
315275.0,3.0,1.75,1440,1.0,0,960,480
505000.0,4.0,1.75,1940,1.0,0,1030,910
368000.0,3.0,1.0,1280,1.0,0,1280,0
947500.0,3.0,2.75,2980,1.5,2,2180,800
156000.0,3.0,1.0,970,1.0,0,970,0
610000.0,4.0,3.0,2110,1.5,2,1640,470
420000.0,2.0,2.5,1480,3.0,0,1480,0
192000.0,2.0,1.0,700,1.0,0,700,0
910000.0,3.0,2.0,2700,1.0,0,1350,1350
1300000.0,4.0,3.25,2330,2.0,3,2330,0
840000.0,4.0,2.75,2600,1.5,0,1620,980
300000.0,2.0,1.75,1360,1.0,0,860,500
505000.0,4.0,2.5,2780,1.0,0,1590,1190
746000.0,3.0,2.5,2620,2.0,0,2620,0
211000.0,3.0,1.5,1350,1.0,0,1350,0
675000.0,4.0,3.0,2400,1.0,0,1200,1200
734200.0,4.0,2.5,2760,1.5,0,1680,1080
1225000.0,4.0,2.25,3070,1.0,3,1870,1200
615000.0,2.0,1.75,2040,1.5,3,2040,0
630000.0,4.0,2.0,1770,2.0,0,1770,0
1264000.0,4.0,3.75,3490,2.0,0,3490,0
301500.0,2.0,1.5,830,2.0,0,830,0
369000.0,2.0,2.5,980,2.0,0,670,310
635000.0,3.0,2.5,1570,3.0,0,1570,0
1033888.0,4.0,3.25,3270,2.0,0,3110,160
383000.0,4.0,2.5,2160,2.0,0,2160,0
1050000.0,4.0,3.75,3280,2.0,0,2320,960
455000.0,4.0,2.5,3360,2.0,0,3360,0
819900.0,5.0,2.75,3150,2.0,0,3150,0
625000.0,3.0,3.5,1810,2.0,0,1440,370
651000.0,4.0,2.5,2740,2.0,0,2740,0
757000.0,3.0,3.25,3190,2.0,0,3190,0
460000.0,3.0,2.25,2350,1.0,0,1390,960
267345.0,4.0,2.25,2510,1.0,0,1610,900
530000.0,2.0,2.0,1680,1.0,0,1680,0
449500.0,3.0,2.0,1770,1.0,0,960,810
289000.0,3.0,1.0,1090,1.0,0,1090,0
373000.0,5.0,2.5,3001,2.0,0,3001,0
525000.0,5.0,3.0,2450,2.0,0,2450,0
550000.0,4.0,2.0,2250,1.0,0,1200,1050
523000.0,3.0,1.5,1240,1.0,0,1240,0
628000.0,4.0,2.0,2260,1.0,0,1430,830
581000.0,4.0,1.75,2090,1.0,0,1070,1020
245000.0,5.0,1.75,2020,1.0,0,1220,800
415000.0,3.0,1.75,1960,1.0,0,980,980
225000.0,3.0,1.5,1250,1.0,0,1250,0
287000.0,3.0,2.25,1490,1.0,0,1170,320
239950.0,3.0,1.0,1900,1.5,0,1900,0
591000.0,3.0,1.75,1680,1.0,0,870,810
700000.0,3.0,2.5,2030,2.0,0,2030,0
475000.0,4.0,2.5,3740,1.0,0,2260,1480
575000.0,3.0,1.75,1580,1.0,0,1180,400
771000.0,3.0,2.25,1780,1.5,0,1390,390
155000.0,2.0,1.0,910,1.0,0,910,0
645000.0,3.0,2.5,1740,2.0,0,1740,0
350000.0,3.0,2.5,2010,2.0,0,2010,0
591000.0,4.0,2.25,2710,2.0,0,2710,0
717000.0,3.0,1.5,1310,1.0,0,1090,220
225000.0,4.0,1.5,1950,1.5,0,1950,0
225000.0,3.0,1.0,1040,1.0,0,1040,0
345000.0,3.0,1.75,1090,1.0,0,1090,0
